SETTD,DAILYT
2014-10-26,4204521.241
2014-10-27,5125170.419
2014-10-28,5247840.926
2014-10-29,5117414.844
2014-10-30,5034133.636
2014-10-31,5231447.808
2014-11-01,4358021.746
2014-11-02,4338690.393999998
2014-11-03,4752242.995
2014-11-04,4208098.969
2014-11-05,5011141.332
2014-11-06,5009129.383
2014-11-07,5462589.89
2014-11-08,4895831.186000002
2014-11-09,4131467.572
2014-11-10,4958590.573
2014-11-11,4965557.837
2014-11-12,5034982.679
2014-11-13,5529461.687999999
2014-11-14,5152330.987
2014-11-15,4349452.545
2014-11-16,4384216.215
2014-11-17,5032585.946
2014-11-18,5019732.797
2014-11-19,5223124.397
2014-11-20,5379581.607000002
2014-11-21,5067491.332
2014-11-22,4555673.43
2014-11-23,4389634.957
2014-11-24,5181252.185
2014-11-25,4985329.045
2014-11-26,5045049.364
2014-11-27,4948638.117
2014-11-28,4923411.257
2014-11-29,4349661.762
2014-11-30,5203039.254
2014-12-01,5940705.503
2014-12-02,5468927.389
2014-12-03,5176812.048
2014-12-04,5571547.277000002
2014-12-05,5170400.0030000005
2014-12-06,4339063.199
2014-12-07,4312507.274
2014-12-08,4992451.034
2014-12-09,4971590.659
2014-12-10,5034481.51
2014-12-11,5026620.699
2014-12-12,5168897.996
2014-12-13,4936003.957
2014-12-14,4597460.051
2014-12-15,5289301.338
2014-12-16,5471084.491
2014-12-17,4979469.145
2014-12-18,5044032.702
2014-12-19,4816698.126
2014-12-20,4193019.563
2014-12-21,4643718.935
2014-12-22,5321246.145
2014-12-23,5143675.4339999985
2014-12-24,4371457.27
2014-12-25,3677693.0710000005
2014-12-26,3591870.242
2014-12-27,3647478.572
2014-12-28,3991562.909
2014-12-29,4154928.455
2014-12-30,4008225.874
2014-12-31,3952824.653
2015-01-01,3640095.729
2015-01-02,5323070.506
2015-01-03,6340175.937999999
2015-01-04,4166689.963
2015-01-05,4692296.654
2015-01-06,5232958.03
2015-01-07,6543622.097999998
2015-01-08,6034636.8160000015
2015-01-09,4564808.07
2015-01-10,4058690.908
2015-01-11,4206844.513
2015-01-12,5763602.344
2015-01-13,5457885.966
2015-01-14,5081142.262
2015-01-15,4805088.661
2015-01-16,4874004.109
2015-01-17,4151120.111
2015-01-18,3959560.182
2015-01-19,4771771.548
2015-01-20,5301028.807
2015-01-21,6609959.536
2015-01-22,6810634.804
2015-01-23,5808162.619
2015-01-24,4624994.598
2015-01-25,3960625.514
2015-01-26,3992663.203
2015-01-27,4837316.951
2015-01-28,4938773.679
2015-01-29,4904517.719
2015-01-30,4844221.692
2015-01-31,4211692.087
2015-02-01,4231339.214
2015-02-02,4901571.821
2015-02-03,4909736.227
2015-02-04,4879995.706
2015-02-05,5065429.654
2015-02-06,6222123.747
2015-02-07,6002613.114
2015-02-08,4598786.992
2015-02-09,5356085.324
2015-02-10,6149775.214
2015-02-11,6221360.379
2015-02-12,5301980.636
2015-02-13,5845109.73
2015-02-14,4839693.518
2015-02-15,5620427.58
2015-02-16,5704802.744
2015-02-17,5153686.135
2015-02-18,5119989.403
2015-02-19,5781142.182
2015-02-20,5926762.943
2015-02-21,6140765.716
2015-02-22,6462763.677999998
2015-02-23,5959446.69
2015-02-24,5042564.64
2015-02-25,5378159.351
2015-02-26,5358991.587
2015-02-27,5241122.755
2015-02-28,4766356.372
2015-03-01,4287430.959
2015-03-02,5028001.734
2015-03-03,5133818.886
2015-03-04,5133826.085
2015-03-05,4932305.054
2015-03-06,4953176.923
2015-03-07,4195915.696
2015-03-08,4032554.478
2015-03-09,4227642.449
2015-03-10,5026318.121
2015-03-11,5039242.381
2015-03-12,5001915.449
2015-03-13,4929001.446
2015-03-14,4378221.842
2015-03-15,4196133.968
2015-03-16,5025661.19
2015-03-17,5147729.133
2015-03-18,5197064.824
2015-03-19,5511507.205
2015-03-20,4953625.199
2015-03-21,4252729.3089999985
2015-03-22,4340312.856000002
