,SETTD,PROFILEAREA,DAILYT,VAL01,VAL02,VAL03,VAL04,VAL05,VAL06,VAL07,VAL08,VAL09,VAL10,VAL11,VAL12,VAL13,VAL14,VAL15,VAL16,VAL17,VAL18,VAL19,VAL20,VAL21,VAL22,VAL23,VAL24,VAL25,VAL26,VAL27,VAL28,VAL29,VAL30,VAL31,VAL32,VAL33,VAL34,VAL35,VAL36,VAL37,VAL38,VAL39,VAL40,VAL41,VAL42,VAL43,VAL44,VAL45,VAL46,VAL47,VAL48,DCTC
10,11/04/2014,CITIPOWER,5253397.465,89173.005,78097.568,70625.93400000001,65671.766,62689.543,60775.555,59857.166,58981.793,58822.505,59016.181,61247.874,65518.371,75421.12599999999,89077.509,100665.127,112980.79199999999,120889.97,126266.23599999999,130771.088,133693.045,135335.27300000002,135410.253,133790.156,135298.589,136232.05800000002,136319.688,136599.881,135981.642,134558.24300000002,133261.56699999998,131733.772,130740.171,131611.285,132723.167,133106.253,134566.468,136271.934,136603.219,132134.936,127241.712,122135.701,117683.55300000001,113049.671,108237.585,107042.037,108584.98800000001,110944.332,105957.177,MRIM
11,12/04/2014,CITIPOWER,4462922.879,92742.743,81831.799,74054.834,68612.075,64940.312000000005,62723.707,61285.799000000006,59914.074,59117.759000000005,58713.763,59409.181,60699.880999999994,63795.297999999995,68099.483,71772.466,78466.656,85925.205,92564.114,98325.403,102210.377,105673.022,105401.88,105594.594,107618.288,107013.972,104616.871,105307.45599999999,103027.08,101029.27699999999,100602.03199999999,100291.62,100315.579,100801.475,102769.12800000001,105101.59199999999,112048.05699999999,120727.704,123834.508,121006.996,116705.996,112460.67800000001,109129.67599999999,105324.258,101467.57800000001,101977.984,104601.76199999999,108398.01199999999,104870.875,MRIM
12,13/04/2014,CITIPOWER,4318969.114,92192.65800000001,81652.214,73900.418,68187.692,64434.460999999996,61901.809,60405.005,59150.404,58169.982,57831.22,58136.574,58716.301,60902.06,63827.598,65979.367,71229.687,77296.182,82099.16900000001,86852.474,90026.30300000001,93282.969,95220.08,96716.39199999999,97316.364,97868.18400000001,97446.915,97243.31300000001,96075.63900000001,95343.35699999999,94770.877,95146.759,95497.64199999999,96526.26400000001,98826.55099999999,102743.55,110158.009,122590.371,128480.93,126429.08,123292.01699999999,119451.463,116134.638,111248.367,105775.226,103673.43800000001,103272.099,105055.226,100491.81599999999,MRIM
13,14/04/2014,CITIPOWER,5128605.399,87850.951,77466.233,69996.885,64851.405999999995,61779.85400000001,59863.599,58698.096,57828.974,57796.350999999995,58379.045,60723.642,65413.199,76131.665,90588.987,101679.34300000001,112699.72099999999,119281.201,121673.602,124459.575,125520.898,126379.284,126631.163,127090.98300000001,126876.02699999999,126927.284,126985.492,126998.543,126134.3,125683.84300000001,124690.045,123522.207,122898.18,122560.55699999999,122882.93,123972.42599999999,127958.974,136939.35199999998,141814.34,139366.469,135082.50400000002,130352.641,125517.93199999999,119411.951,112424.002,108601.26,107811.391,108172.51199999999,102235.58,MRIM
14,15/04/2014,CITIPOWER,5158090.48,88618.133,78003.266,70294.775,65353.12,62372.08900000001,60521.187999999995,59504.458,58723.568,58445.45,59095.899000000005,61865.395,66591.104,77735.637,92490.77699999999,103693.856,114720.795,120735.254,122878.507,125125.082,125434.302,126334.62800000001,126769.6,126424.31199999999,126074.134,127187.873,127631.446,127702.507,127049.603,126417.6,125181.829,124102.966,123667.81800000001,123305.74,124653.412,125531.788,129513.306,136547.947,140505.557,138222.628,134559.638,129985.09199999999,125472.62599999999,119898.448,113165.174,109467.58300000001,108608.165,108800.035,103106.37,MRIM
15,16/04/2014,CITIPOWER,5214111.6680000005,89540.375,78790.07,71147.837,66034.26299999999,63026.861,60989.51,59945.053,59258.299000000006,59107.422999999995,59522.764,62218.526,67410.48,78620.042,93479.45800000001,104855.23300000001,117068.34800000001,125299.097,128195.67599999999,131031.63,130672.34199999999,129509.815,128706.877,128195.80699999999,127299.85699999999,127472.959,127829.61300000001,129191.395,128412.19699999999,127542.91,126665.898,125513.48599999999,124695.118,123197.194,123355.80699999999,124032.53199999999,130528.865,137279.80800000002,140359.644,137463.05599999998,134022.984,130009.832,126279.34199999999,120787.085,114361.016,111018.87599999999,109901.921,110164.47300000001,104100.01400000001,MRIM
16,17/04/2014,CITIPOWER,5042052.798,90579.20599999999,79629.352,71943.27799999999,66506.637,63171.575999999994,60866.997,59828.155,59332.115999999995,59102.763,59614.990999999995,62331.758,67250.735,78388.367,92754.14,103679.775,114378.09,120944.43400000001,123327.79699999999,124950.38699999999,125376.646,126505.99699999999,126648.539,126811.78300000001,126733.369,127077.293,127084.854,126888.707,126613.26699999999,126275.26699999999,125676.53300000001,124472.714,123080.604,120984.40199999999,120309.30900000001,119095.48199999999,122312.089,127097.058,128454.23,124838.286,120720.039,116743.617,112670.996,108188.495,103979.09199999999,103199.09300000001,105286.308,107502.78199999999,102845.39300000001,MRIM
17,18/04/2014,CITIPOWER,4251321.74,90036.906,79714.364,72133.88,67041.962,63604.625,61326.264,59703.806,58369.774000000005,57943.416,57529.206,58228.176,59537.019,62745.823,66013.45599999999,68341.895,73215.35,78996.946,82615.219,88709.413,93574.287,95639.364,100125.166,101032.683,101510.918,104525.234,104022.425,101605.16,99144.28199999999,95296.98599999999,92689.773,91350.789,92021.97300000001,92515.231,95410.016,99068.86099999999,106185.651,114898.814,117260.133,114636.835,111560.914,108094.743,105265.005,101228.689,97633.383,98929.59,102206.80699999999,106029.23199999999,102051.296,MRIM
18,19/04/2014,CITIPOWER,4279159.798,90241.72099999999,80445.521,72919.458,67460.853,64281.922,61728.277,60269.598,59368.782,58670.138,58571.802,58932.657,60065.253,62600.304000000004,65774.783,67559.997,73031.19900000001,80407.757,86232.373,90216.885,92856.131,95445.25,98251.56,99371.852,99245.06,97217.836,96262.65699999999,95980.147,95217.28199999999,94156.397,93650.594,92356.55699999999,92719.992,95408.772,99101.435,104400.75099999999,111253.216,118430.92599999999,119778.054,116835.15400000001,113404.26,110356.743,107747.87599999999,104584.93800000001,101021.68199999999,101377.788,103995.145,107153.879,102798.584,MRIM
19,20/04/2014,CITIPOWER,4087389.3030000003,91156.24699999999,81890.49799999999,74512.976,69049.543,65550.101,63072.78599999999,61155.349,59677.942,58816.227,58383.529,58518.199,59237.567,61057.037000000004,63628.724,64890.043,70278.076,76960.12400000001,82559.791,86688.02,88972.666,90410.712,90178.81,91585.266,90971.11300000001,90882.22,89521.76400000001,86356.1,85672.364,86267.73800000001,86319.162,86316.14300000001,85518.009,85519.099,87785.181,91565.038,99477.675,109045.47300000001,112634.40699999999,111905.716,110197.18,107978.20199999999,105747.961,102647.61300000001,99094.692,99315.252,102041.12199999999,105293.94099999999,101085.905,MRIM
